X-Axis,min T/W,max T/W
0.2,31.56661298394508,51.23282218463301
0.19,32.3119115348477,50.17195584958144
0.18,33.083906211813954,49.05221616645659
0.17,33.88453032161659,47.952876134490424
0.16,34.715852691561075,46.873301700175325
0.15,35.580111627201504,45.534652630420894
0.14,36.47970954368954,44.22725500626189
0.13,37.41725632219149,42.95249420651989
0.12,38.39558880917538,41.704137084847154
0.11,39.417800061787766,40.008805784514884
0.10782521998749704,39.64010852186151,39.64010852186151
