X-Axis,min T/W,max T/W
0.2,31.569883279146165,48.38841035080609
0.19,32.3119115348477,47.86546704492414
0.18,33.083906211813954,47.34252384321677
0.17,33.88453032161659,46.819580528427636
0.16,34.715852691561075,46.29663720445854
0.15,35.580111627201504,45.5346520165124
0.14,36.47970954368954,44.22725502389672
0.13,37.41725632219149,42.952494205728485
0.12,38.39558880917538,41.70413708421542
0.11,39.41780008812913,40.00880578424626
0.107825220106206,39.64010854179694,39.64010854179694
